A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
0.2480664536290439,0.4569503584381822,0.6549369914041548,0.7252839785756483,0.7264470006035204,0.36367514426033637,0.561903579525968,0.32874818729283994,0.38692911126659973,0.8222990685628515,0.021693569665414636,0.5602009465811673,0.8669667117276656,0.8189584899833786,0.7781548493065276,0.851278183845693,0.10138010521555951,0.25018382550268736,0.6204242328887135,0.5346951174797627
0.733833028104558,0.6359119840861293,0.38292132070140084,0.5832669658640052,0.5046215818637165,0.5299388187883622,0.3214464052070961,0.8889167723322808,0.5450780222490345,0.43314288947617063,0.47713060537870244,0.4493604278867327,0.4643122246315638,0.22341935676031216,0.8020042815424041,0.4114311122530787,0.7069914604300969,0.2993541306842158,0.5047242260198297,0.8038662442331259
0.7509164992825312,0.6835991863033632,0.41075474979055976,0.719007066305482,0.7400112658537797,0.24279482066784264,0.3849652507687916,0.2760637363442441,0.6388667695713258,0.3078552066947716,0.8088968543399804,0.11270374860324534,0.18028064693413542,0.3957349023285634,0.7582040053987732,0.2571784028949662,0.5948427696941215,0.22712117170610946,0.6237129266291359,0.5349736562490087
0.6352370812351058,0.3115208997203409,0.4515118934998985,0.29876895257577785,0.5881284641178219,0.7570463627984907,0.10430600417954777,0.5011969723675181,0.9089042748581313,0.1859637996095076,0.4980383022923245,0.5040744603946331,0.7606009721789824,0.2249297314014856,0.1441137021662573,0.6684172827885553,0.47046544882423014,0.6445236082440444,0.3562436900763236,0.40667608396692123
0.43896946805481685,0.32464574294032894,0.25984478467908473,0.30150511283056924,0.5545797462334566,0.7985372840190672,0.3668007354616013,0.2662233791248835,0.6531807765768302,0.7459961072428931,0.6942970955135404,0.7685527931492795,0.5713346559697632,0.33894170971825155,0.25648246593368396,0.784625630340742,0.6605883540055266,0.6523416932610091,0.21587533396960734,0.3414084849982882
0.9308514554457885,0.37074104662428586,0.8097408116019704,0.6725594483083606,0.4008902462460446,0.45117785658512755,0.7965274954706059,0.15156458277973223,0.2143189186409834,0.7440499934952074,0.14691633960870015,0.7798409203846688,0.6166891367358307,0.8268875683836394,0.7298007134594049,0.6946843204464526,0.42579005160572814,0.2517759895421105,0.6248211599722938,0.4708365665768483
0.41376627286528755,0.7237000331957795,0.25207309557294166,0.4614152502875155,0.4527217303595734,0.37966102197316876,0.32526833416025003,0.6240339463405622,0.5625689526605295,0.45666037027189427,0.5738417343257868,0.6409559872166851,0.18210045671426645,0.35974080419912635,0.30870065685068315,0.4707673721630173,0.16198056532734345,0.45084947173818685,0.7519853758965205,0.8238760329746495
0.4057956738718397,0.5002441646635556,0.29650162368868016,0.19812129826165176,0.5437463089035758,0.5887160008754588,0.384321034275493,0.6256424619156244,0.43067882895443144,0.39120008231370273,0.8551051751107852,0.23340738127202987,0.9119181614554142,0.122200607565351,0.2974862363283163,0.5501852752419747,0.7260480704679291,0.8651291856350447,0.04947038665264597,0.43190178312486904
0.5247523232439338,0.361029395431405,0.2247533431916422,0.24431141807469903,0.473020399846976,0.8400959234712901,0.2993722995485585,0.6543029290647923,0.5780493550556235,0.6376403589948865,0.7875274763834895,0.2404313121735704,0.6491303049290813,0.29178488455926177,0.14315656297039864,0.7283929632462112,0.5949585805402358,0.7142417579169071,0.28387348189461814,0.36072769404004773
0.5964827295824591,0.3635453735079183,0.9593293786791236,0.7635972329238121,0.234627311354635,0.4777164939676617,0.6811495772714964,0.6617959978835147,0.25885575298058006,0.5502704615792375,0.5520344066491173,0.6992745755256276,0.4133938199643744,0.5167086773191448,0.7091349431257123,0.530250325348426,0.32046973058728206,0.39666096074402857,0.5816325612932887,0.2700007078883312
0.5562587160985263,0.5138747797804106,0.22057614700244527,0.32627941613087286,0.9114127181573946,0.9259031090342003,0.3688435843109288,0.3964264576187557,0.5815649570557577,0.693598631973648,0.594595933367148,0.5715446074060362,0.7680594677304209,0.3026312295722082,0.10949776862006916,0.9539310661206661,0.7661113588174769,0.8332037564409903,0.35979184838327216,0.2963290910433251
0.31792431052023107,0.4573506903488155,0.4772871303102603,0.34100234369840043,0.08626455446569303,0.5990445564921756,0.4562446750278112,0.43203882108074276,0.9557360936116076,0.2342295690323821,0.5268989928739105,0.38812966248225106,0.7135320345690339,0.17896703972890793,0.23113559786686902,0.6481806324344309,0.46197155276217644,0.6911808169885356,0.29088266642761007,0.45206120106685616
0.49221974811609664,0.5152986241609362,0.7693117198764265,0.7985240747048747,0.5028390240401562,0.23914702392033654,0.786827487330026,0.2847519621924558,0.2724893764150505,0.9261737865560704,0.19649045782789054,0.5631632989029841,0.5940617945383035,0.603907727726809,0.5842174008765019,0.7258752411572167,0.9833459060565948,0.24690691095635298,0.49686739661858276,0.10272881155874036
0.7303243794769421,0.9110917512060298,0.43716806384588935,0.5573333418605291,0.018907503730023922,0.40635884991195725,0.3276375253775561,0.5171572256693958,0.7750499518032812,0.5109813426273625,0.6907782445041042,0.04737877058778239,0.269438370582758,0.2422324551043759,0.5279975462488008,0.4208447280067143,0.7955704826840453,0.3546974849943716,0.4847139829730079,0.7958028573104463
0.12016887527197972,0.3185621669074912,0.7592257487264933,0.588480404040867,0.2186119469997344,0.3505745577250073,0.4730962774099808,0.6517424371780997,0.29923950802780347,0.24168995432516746,0.4147909187736947,0.6106726021199296,0.771272830301682,0.8366713481705351,0.4993479196605315,0.5664027185706096,0.6114006576445713,0.41969194959773926,0.6516985628504657,0.43653334535476285
0.504976656105898,0.34930815812294924,0.3642443878172619,0.2634518910302598,0.641676356593779,0.6845746611775131,0.3524634015890474,0.5555759151906927,0.5823334648537759,0.8029409298253425,0.6414364871833439,0.4979711775103177,0.7399682527233364,0.27177809080803883,0.07760716861908673,0.7086997645189204,0.7099837133988203,0.8164404296861193,0.38057781305505134,0.14993306690167635
0.7142213869472034,0.8198818543001145,0.46374501929100054,0.6326688233324397,0.21967223071003217,0.6345279747936409,0.2525606860857673,0.1343971396296848,0.8466749675518485,0.433997236051027,0.5755803209064965,0.4893732619414368,0.27852789078186724,0.055504930545371256,0.508398157298809,0.15570721560714812,0.4293183213381192,0.5202891875020556,0.4666159351212035,0.6335424492783918
0.1201291285218904,0.8707192931128853,0.43375611723248686,0.5023589451975363,0.32946701725709804,0.26470661319720773,0.41073713323220473,0.2915446750757949,0.6576095329058624,0.41043233026268977,0.46642103712468197,0.6931778114593208,0.2787246357991995,0.33306866362784604,0.5829110328386936,0.3460943951296951,0.875438731521859,0.32259115110338976,0.640501903729191,0.8304832865187244
0.1767497352287073,0.15857936264460198,0.29474868699476875,0.41646959672520983,0.5268903995992076,0.5804724241421525,0.18124080889240102,0.6713387467682719,0.7656530147186457,0.3081276640376728,0.5164491176333612,0.35593285904865646,0.4956558826472756,0.20218310469729872,0.3730717103250184,0.5142366224410255,0.3623899837685873,0.3634567267427248,0.12555513062110768,0.3856392704944861
0.4234834755095026,0.34676839776609714,0.2763997252612887,0.332476589012514,0.406065127554475,0.529428155377115,0.36462860491179927,0.3780335600837035,0.9723531958454203,0.42275245913363935,0.678426956806674,0.5083352565509073,0.7712556547475096,0.3598040915182137,0.07766478977881208,0.6169782845499747,0.545969080448113,0.5197580601694205,0.5721096269972784,0.1743207055426817
0.28149416168018077,0.20659035745249044,0.4431651040530514,0.2011283519866952,0.3127591728633212,0.8489613480572044,0.18893291438897958,0.9093767033156003,0.7336700975485304,0.5425596666293114,0.7763870873692951,0.5767784967499656,0.4626376039842522,0.12051825098503233,0.06647747582847924,0.7380298828883588,0.5071026837234688,0.8072148095113773,0.25549664958255525,0.2326034076607973
0.6117690444533903,0.42437589964274736,0.4185712733409765,0.19969431291718406,0.7706375382868724,0.8776517122075986,0.10810203493677611,0.34876958860875107,0.7076893862974046,0.7600954355878007,0.5431559701684379,0.4290039185403759,0.7687693519195176,0.2332831468682559,0.12334457586440084,0.7353877080383235,0.6022819514679282,0.6915901689839107,0.281717288860055,0.4612909091531223
0.42068551565912954,0.2853930581585855,0.3118856119666538,0.20574879774248403,0.5937981792447747,0.6284530244140448,0.01000860541190296,0.18453799748797534,0.6377363467389241,0.7257980877171444,0.49011772589960817,0.20736401193398563,0.7867474247369044,0.2654419843293091,0.17994558271862043,0.8179371148832775,0.3652901740047317,0.6178614434238315,0.21413731661812707,0.3943422455745887
0.1280982384321469,0.24184642745525214,0.42677732970775184,0.38433534885881626,0.8219828106332937,0.8985623148565541,0.24124412941133339,0.49102812974966165,0.8362909347969656,0.20461259695664086,0.47602010912230364,0.7271380639049551,0.700892181881306,0.48207930360265355,0.30125053568481996,0.7777839913827441,0.5038727681170979,0.7344329315742708,0.27343868817370853,0.45021569637867537
0.4875076519429795,0.3536709512495602,0.34471438133532795,0.09567233448691109,0.4243730213476235,0.4981206958442621,0.43401193893515,0.46735929895888784,0.6390001580333319,0.6055564033396622,0.610224419604818,0.3823874217322044,0.6775207067252709,0.26436192756851307,0.4849316257560077,0.3692164445757217,0.7463663945701975,0.6701180849853983,0.012419738302883898,0.5650865948328002
0.40703162662331555,0.0733012895594487,0.37067724754582443,0.30732259898246445,0.8698870874380578,0.8650180366429434,0.21414363419597227,0.5060071216580718,0.4368532594378503,0.6372453658579178,0.6214082090423071,0.7056258572350388,0.5612566405677494,0.437425771224002,0.3019314197426668,0.7219565621793079,0.5078399490754687,0.864318879292703,0.08688640352342569,0.38938458970768164
0.9089580309959342,0.46866283121006624,0.47721666063149193,0.9141131349120253,0.9665847720536713,0.385985648559228,0.7574158406212785,0.27435314651685627,0.5294841045673004,0.452650458807857,0.2672539936494309,0.24949570710367028,0.7215391668387972,0.7267486806785446,0.6729529038062962,0.5460460761519612,0.4943888517953292,0.371395973512206,0.4264433698733843,0.3439033124396148
0.5761559961789561,0.40249316775683963,0.0,0.7271906934081973,0.3802219608401076,0.19532040425445096,0.4511609771364134,0.4458100237991005,0.7148546048966915,0.7313888039431465,0.6712522188335439,0.1463185293550801,0.3624377223398304,0.12448667984670764,0.2857396942286047,0.3987193961489579,0.5491431145058498,0.11252695622168696,0.883603459853775,0.7895241101577208
0.31236188735024256,0.20443785851632224,0.5830647415175912,0.7721088414843968,0.5046583581500662,0.29803338771954624,0.6431324320518547,0.7042322325695607,0.5627944059125901,0.4489991469580912,0.4358050890296942,0.5498589947554362,0.44432087899230377,0.5934834411277236,0.6956518327090495,0.5045502698687971,0.5421760467104333,0.4694008264696446,0.2959714673404407,0.46752825217069194
0.5455370700986677,0.20448800016007523,0.3145086927288956,0.3205680362294575,0.3486797032457013,0.7126217106142607,0.41172941228516735,0.43126362881823477,0.6594748536615755,0.4170655416576771,0.7649965655281452,0.6450565077061435,0.6137648723915836,0.3255377301321498,0.23733530062722627,0.47795193405364134,0.8909097279993148,0.858896567593727,0.16547429975943884,0.39220359314927894
0.14006083136565772,0.3028281442927019,0.43398432525181657,0.659941301588809,0.9089975244719194,0.3621638552920146,0.6889142206925953,0.48936556895406236,0.49300744087179293,0.5717349022111414,0.4128279952705207,0.8110894335993981,0.7619441353107058,0.7438859062772109,0.624362641491784,0.5000323927417103,0.6337198021520006,0.5212635406813504,0.4769579720265736,0.48882023987879836
